Date/Time,Genus,Species,Canopy cover (%),Behavior,Substrate/surface,x,y
6/16/2023 7:38,Ulmus sp.,Ulmus crassifolia,25 - 50%,Resting,Tree,-96.354974,30.604366
6/16/2023 8:30,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.35424,30.597872
6/16/2023 11:26,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.34849,30.610417
6/16/2023 17:44,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.347738,30.611242
6/16/2023 17:47,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.346998,30.610847
6/16/2023 17:53,Ulmus sp.,Ulmus crassifolia,75 - 100%,Traveling,Tree,-96.346861,30.610545
6/16/2023 18:04,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.34461,30.612549
6/16/2023 18:06,Quercus sp.,Quercus virginiana,25 - 50%,Resting,Tree,-96.344001,30.612626
6/16/2023 18:30,Quercus sp.,Quercus virginiana,75 - 100%,Traveling,Tree,-96.346296,30.610318
6/20/2023 7:29,Ulmus sp.,Ulmus crassifolia,75 - 100%,Resting,Tree,-96.352522,30.610713
6/20/2023 8:30,Quercus sp.,Quercus stellata,75 - 100%,Resting,Tree,-96.346959,30.612704
6/21/2023 8:02,Quercus sp.,Quercus stellata,75 - 100%,Resting,Tree,-96.352832,30.606
6/21/2023 18:37,Ulmus sp.,Ulmus virginiana,75 - 100%,Resting,Tree,-96.354905,30.598363
6/21/2023 18:40,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.355907,30.59822
6/22/2023 7:50,Quercus sp.,Quercus virginiana,75 - 100%,Traveling,Tree,-96.340881,30.611752
6/22/2023 7:59,Quercus sp.,Quercus virginiana,75 - 100%,Eating,Tree,-96.340557,30.611971
6/22/2023 8:33,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.338212,30.617228
6/22/2023 8:45,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.337903,30.618432
6/22/2023 8:55,Quercus sp.,Quercus virginiana,75 - 100%,Traveling,Tree,-96.339675,30.616078
6/22/2023 9:23,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.337775,30.612681
6/23/2023 7:35,Quercus sp.,Quercus macrocarpa,75 - 100%,Resting,Tree,-96.340063,30.604727
6/23/2023 7:36,Quercus sp.,Quercus macrocarpa,75 - 100%,Resting,Tree,-96.340063,30.604727
6/23/2023 7:42,Quercus sp.,Quercus stellata,25 - 50%,Eating,Tree,-96.340461,30.604182
6/23/2023 9:12,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.334839,30.613931
6/23/2023 9:26,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.335013,30.614288
6/23/2023 18:27,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.344036,30.613679
6/23/2023 18:34,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.344256,30.613617
6/23/2023 19:01,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.344511,30.61529
6/23/2023 19:58,Lagerstroemia sp.,Lagerstroemia indica,75 - 100%,Resting,Tree,-96.339444,30.618855
6/26/2023 7:28,Quercus sp.,Quercus virginiana,50 - 75%,Nest_building,Tree,-96.346228,30.615903
6/26/2023 8:59,Quercus sp.,Quercus virginiana,75 - 100%,Traveling,Tree,-96.343602,30.616326
6/26/2023 9:21,Quercus sp.,Quercus shumardii,75 - 100%,Eating,Tree,-96.338307,30.619019
6/26/2023 9:26,Quercus sp.,Quercus virginiana,75 - 100%,Traveling,Tree,-96.338288,30.619505
6/26/2023 18:35,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.341372,30.615925
6/26/2023 18:47,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.341751,30.618618
6/27/2023 7:45,Unknown,Unknown sp.,50 - 75%,Traveling,Tree,-96.360205,30.602513
6/27/2023 7:51,Unknown,Unknown sp.,0 - 25%,Eating,Tree,-96.360188,30.602479
6/27/2023 8:33,Triadica sp.,Triadica sebifera,75 - 100%,Traveling,Tree,-96.36075,30.599915
6/27/2023 8:39,Ulmus sp.,Ulmus crassifolia,75 - 100%,Resting,Tree,-96.360864,30.599871
6/27/2023 8:40,Ulmus sp.,Ulmus crassifolia,75 - 100%,Resting,Tree,-96.360864,30.599871
6/27/2023 8:43,Quercus sp.,Quercus stellata,75 - 100%,Resting,Tree,-96.360804,30.599263
6/27/2023 19:35,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.338152,30.613465
6/28/2023 18:54,Quercus sp.,Quercus virginiana,25 - 50%,Resting,Tree,-96.335442,30.613563
6/28/2023 19:03,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.334674,30.615215
6/28/2023 19:18,Quercus sp.,Quercus virginiana,75 - 100%,Eating,Tree,-96.332722,30.612926
6/29/2023 7:34,Quercus sp.,Quercus virginiana,75 - 100%,Traveling,Tree,-96.355466,30.598611
6/29/2023 9:06,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.33815,30.614778
6/29/2023 18:24,Ulmus sp.,Ulmus parvifolia,75 - 100%,Resting,Tree,-96.357622,30.605546
6/29/2023 18:42,Quercus sp.,Quercus stellata,75 - 100%,Resting,Tree,-96.361417,30.603346
6/29/2023 19:14,Quercus sp.,Quercus stellata,75 - 100%,Eating,Tree,-96.360336,30.599806
6/29/2023 19:28,Quercus sp.,Quercus stellata,75 - 100%,Resting,Tree,-96.359249,30.602909
6/30/2023 18:18,Quercus sp.,Quercus virginiana,75 - 100%,Resting,Tree,-96.352186,30.604227
